,US_GDP,US_PCE,US_CPI,US_CPI2,US_IP,EA_GDP,EA_PCE,EA_HICP,EA_IP,CH_GDP,CH_PCE,CH_CPI,CH_IP,UK_GDP,UK_PCE,UK_CPI,UK_CPI2,UK_IP,EUR_USD,USD_CNY,GBP_USD,GBP_CNY,EUR_CNY,EUR_GBP,USD_EUR,CNY_USD,USD_GBP,CNY_GBP,CNY_EUR,GBP_EUR
1982-10-01,7303.817,4705.953,5.032119914346889,5.978948458,47.3575,,,,62.7763319719257,,,,,203445.6,,6.848864,6.786094,63.71775,,1.9887,1.6962,,,,,0.5028410519434807,0.5895531187359981,,,
1982-11-01,,,4.47761194029852,5.304532965,47.2078,,,,,,,,,,,6.25611,5.706889,62.66456,,2.0002,1.6321,,,,,0.49995000499950004,0.6127075546841492,,,
1982-12-01,,,3.825717321997879,4.248605204,46.8713,,,,,,,,,,,5.408030999999999,4.330444,63.50711,,1.9445,1.616,,,,,0.5142710208279764,0.6188118811881188,,,
1983-01-01,7400.066,4752.481,3.7076271186440746,4.424606951,47.7398,,,,63.5229855086457,2178264.75,2227419.34295169,,,207170.7,,4.92595,4.251791000000001,64.24434000000001,,1.9238,1.5756,,,,,0.5198045534878886,0.6346788525006347,,,
1983-02-01,,,3.484688489968324,4.356216055,47.4484,,,,,,,,,,,5.342774,4.74089,65.29751999999999,,1.9653,1.5329,,,,,0.5088281687274208,0.6523582751647204,,,
1983-03-01,,,3.5902851108764455,4.586331541,47.8426,,,,,,,,,,,4.626675,4.195079,64.34966,,1.9834,1.49,,,,,0.5041847332862761,0.6711409395973155,,,
1983-04-01,7568.456,4849.254,4.0000000000000036,4.187719488,48.4483,,,,64.0262245224058,,,,,208942.3,,4.003754,3.5456220000000003,65.08689,,1.9938,1.5361,,,,,0.5015548199418196,0.6509992839007877,,,
1983-05-01,,,3.44108446298228,3.285270905,48.747,,,,,,,,,,,3.695652,3.627671,65.92944,,1.9895,1.5722,,,,,0.5026388539834129,0.6360513929525505,,,
1983-06-01,,,2.4742268041237248,2.582464401,49.0434,,,,,,,,,,,3.654382,3.730023000000001,64.87625,,1.9949,1.548,,,,,0.5012782595618829,0.6459948320413437,,,
1983-07-01,7719.746,4936.211,2.358974358974364,2.370321394,49.7739,,,,64.4857036219258,,,,,211229.5,,4.179566,4.085793,66.03475,,1.9966,1.5273,,,,,0.5008514474606832,0.6547502127938191,,,
1983-08-01,,,2.456499488229258,2.293245829,50.364,,,,,,,,,,,4.611575,4.45786,66.03475,,1.9843,1.5026,,,,,0.5039560550320012,0.665513110608279,,,
1983-09-01,,,2.763561924257929,2.688915363,51.0937,,,,,,,,,,,5.140911,4.913162000000001,66.35070999999999,,1.9867,1.4986,,,,,0.5033472592741732,0.6672894701721607,,,
1983-10-01,7880.794,5014.874,2.752293577981657,2.837489986,51.4902,,,,65.5140616065659,,,,,213054.5,,4.992296,4.789386,66.98262,,1.9664,1.4969,,,,,0.5085435313262815,0.6680472977486807,,,
1983-11-01,,,3.1632653061224536,3.496604743,51.721,,,,,,,,,,,4.84514,4.950382,66.98262,,1.994,1.4766,,,,,0.5015045135406219,0.6772314777190844,,,
1983-12-01,,,3.7871033776867957,4.455576949,51.9769,,,,,,,,,,,5.3149,5.726848,67.19326,,1.992,1.4338,,,,,0.5020080321285141,0.6974473427256243,,,
1984-01-01,8034.847,5056.492,4.290091930541351,4.47100051,53.0088,,,,65.5961114457659,2414971.0,2578272.99744515,,,214529.5,,5.124271,5.391598999999999,68.24644,,2.049,1.4076,,,,,0.4880429477794046,0.7104290991759022,,,
1984-02-01,,,4.693877551020398,4.509240951,53.2486,,,,,,,,,,,5.102353,5.223957,67.61453,,2.0628,1.4417,,,,,0.4847779716889664,0.693625580911424,,,
1984-03-01,,,4.892966360856277,4.638826514,53.5028,,,,,,,,,,,5.245502,5.131187000000001,66.77199,,2.0646,1.4557,,,,,0.4843553230650005,0.6869547296833138,,,
1984-04-01,8173.67,5127.332,4.5546558704453455,4.632179596,53.8233,,,,64.9233027643258,,,,,212651.1,,5.172932,5.062198,65.50816,,2.0929,1.421,,,,,0.4778059152372306,0.7037297677691766,,,
1984-05-01,,,4.3346774193548265,4.693964637,54.1104,,,,,,,,,,,5.121294,4.888856,64.98156999999999,,2.1866,1.3894,,,,,0.457331016189518,0.7197351374694113,,,
1984-06-01,,,4.325955734406439,4.773046608,54.3075,,,,,,,,,,,5.13893,4.992538,65.50816,,2.2178,1.377,,,,,0.4508972855983407,0.7262164124909223,,,
1984-07-01,8252.465,5165.357,4.308617234468937,4.88156286,54.4587,,,,67.5352226455261,,,,,214026.7,,4.457652,4.364605,64.5603,,2.2996,1.32,,,,,0.4348582362149939,0.7575757575757576,,,
1984-08-01,,,4.295704295704317,5.017877611,54.5239,,,,,,,,,,,4.970414,5.369551,64.24434000000001,,2.3718,1.3132,,,,,0.42162071000927565,0.7614986293024673,,,
1984-09-01,,,4.2828685258964105,5.122410713,54.3696,,,,,,,,,,,4.712813,5.531522,65.40285,,2.5469,1.2563,,,,,0.39263418273194867,0.7959882193743533,,,
1984-10-01,8320.199,5232.266,4.265873015873023,5.086232886,54.3474,,,,67.3328330421661,,,,,218259.1,,4.989726999999999,5.71459,65.50816,,2.6488,1.2196,,,,,0.37752944729688914,0.819940964250574,,,
1984-11-01,,,4.154302670623156,4.951399759,54.529,,,,,,,,,,,4.942966,5.711803,65.08689,,2.6785,1.2392,,,,,0.3733432891543774,0.8069722401549386,,,
1984-12-01,,,4.043392504930954,5.03485707,54.5556,,,,,,,,,,,4.57993,5.262258,66.24539,,2.7953,1.1861,,,,,0.3577433549171824,0.8430992327796982,,,
1985-01-01,8400.82,5321.159,3.52595494613126,4.71440976,54.527,,,,68.3858792725496,2602347.25,2944249.70275411,,,220048.9,,5.020432,5.806596,67.29858,,2.816,1.1271,,,,,0.3551136363636364,0.8872327211427558,,,
